Year,Crop_Failure
1646,69
1647,117
1648,80
1649,58
1650,61
1651,72
1652,89
1653,65
1654,72
1655,64
1658,60
1659,71
1661,60
1662,75
1664,88
1665,77
1667,57
1668,87
1670,78
1671,116
1672,112
1678,68
1679,114
1680,71
1682,65
1683,98
1684,61
1689,63
1690,97
1691,91
1693,60
1696,65
1703,82
1708,62
1709,75
1720,62
1721,104
1722,70
1723,57
1726,75
1727,57
1730,77
1732,57
1739,69
1742,74
1743,57
1747,69
1748,67
1751,70
1755,73
1757,58
1759,65
1778,84
1785,100
1786,82
1794,84
1802,68
1804,63
1805,66
1811,66
1812,69
1813,98
1814,82
1820,67
1823,96
1826,78
1831,70
1832,109
1833,119
1834,84
1835,141
1836,64
1839,76
1841,65
1846,79
1847,67
1848,102
1849,96
1852,60
1853,120
1855,66
1856,159
1857,151
1858,63
1859,60
1862,87
1863,71
1864,75
1865,61
1866,60
1867,80
1868,86
1869,107
1870,97
1871,113
1872,68
1873,67
1875,81
1876,122
1877,226
1878,113
1879,65
1883,66
1888,64
1889,92
1890,69
1891,76
1892,81
1893,66
1894,58
1895,74
1896,61
1898,70
1899,81
1900,95
1901,80
1902,75
1906,66
1909,65
1910,64
1911,62
