Year,Famine
1644,38
1646,43
1647,146
1648,113
1649,39
1650,39
1651,62
1652,73
1653,67
1654,48
1655,45
1665,67
1671,72
1672,59
1678,53
1679,113
1680,88
1681,37
1684,35
1689,39
1690,49
1691,71
1692,49
1696,67
1697,95
1698,39
1703,69
1704,90
1708,38
1709,53
1713,63
1720,43
1721,104
1722,82
1723,52
1726,57
1727,42
1731,37
1742,39
1743,94
1748,71
1751,48
1752,57
1755,41
1756,66
1758,38
1759,40
1765,48
1778,102
1779,60
1785,110
1786,172
1787,59
1792,36
1795,68
1804,37
1805,52
1806,37
1811,43
1812,61
1813,123
1814,96
1817,35
1823,36
1831,60
1832,113
1833,119
1834,101
1835,88
1836,55
1838,47
1846,42
1847,64
1849,93
1850,36
1853,39
1856,64
1857,120
1858,35
1862,58
1864,50
1866,35
1867,40
1868,43
1870,39
1876,77
1877,213
1878,131
1889,43
1898,36
1900,82
1901,39
